user_id,recommendation_batch_id,recommended_user_id,score,timestamp
U302,B-0122EA96,U172,72.33,2026-06-15T13:25:47.526356
U302,B-0122EA96,U082,67.56,2026-06-15T13:25:47.526356
U302,B-0122EA96,U187,65.38,2026-06-15T13:25:47.526356
U302,B-0122EA96,U256,64.08,2026-06-15T13:25:47.526356
U302,B-0122EA96,U257,63.52,2026-06-15T13:25:47.526356
U303,B-4F478B15,U232,72.91,2026-06-15T14:52:23.034387
U303,B-4F478B15,U143,69.75,2026-06-15T14:52:23.034387
U303,B-4F478B15,U287,64.17,2026-06-15T14:52:23.034387
U303,B-4F478B15,U122,63.47,2026-06-15T14:52:23.034387
U303,B-4F478B15,U091,62.72,2026-06-15T14:52:23.034387
U303,B-1F032951,U232,65.62,2026-06-15T15:26:10.029033
U303,B-1F032951,U143,62.78,2026-06-15T15:26:10.029033
U303,B-1F032951,U140,61.3,2026-06-15T15:26:10.029033
U303,B-1F032951,U284,59.86,2026-06-15T15:26:10.029033
U303,B-1F032951,U207,59.61,2026-06-15T15:26:10.029033
U303,B-8B52F281,U232,65.62,2026-06-15T16:23:27.060668
U303,B-8B52F281,U143,62.78,2026-06-15T16:23:27.060668
U303,B-8B52F281,U077,59.5,2026-06-15T16:23:27.060668
U303,B-8B52F281,U052,59.14,2026-06-15T16:23:27.060668
U303,B-8B52F281,U045,58.43,2026-06-15T16:23:27.060668
U017,B-715B5A47,U188,70.14,2026-06-16T23:49:32.231352
U017,B-715B5A47,U201,67.54,2026-06-16T23:49:32.231352
U017,B-715B5A47,U278,52.44,2026-06-16T23:49:32.231352
U017,B-715B5A47,U074,51.01,2026-06-16T23:49:32.231352
U017,B-715B5A47,U039,50.87,2026-06-16T23:49:32.231352
